Fri Mar 20 19:16:44 UTC 2026 | p2_leaky05_13k_s42 | exit=143 | 180s | MLP_ACT=leaky_relu2_05 SEED=42 CHECKPOINT_EVERY=1000 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_500 | exit=143 | 12s | GPU=6 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_500 | exit=143 | 12s | GPU=0 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_500 | exit=143 | 12s | GPU=1 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_13k_s42 | exit=143 | 12s | GPU=7 | MLP_ACT=leaky_relu2_05 SEED=42 CHECKPOINT_EVERY=1000 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_2k | exit=143 | 12s | GPU=5 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_500 | exit=143 | 12s | GPU=2 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_2k | exit=143 | 12s | GPU=3 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_leaky05_gradfloor_2k | exit=143 | 12s | GPU=4 | MLP_ACT=leaky05_gradfloor 
Sat Mar 21 04:43:23 UTC 2026 | p2_h3_bipolar | exit=143 | 16s | GPU=0 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:24 UTC 2026 | p2_h3_bipolar | exit=143 | 17s | GPU=5 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:24 UTC 2026 | p2_h3_bipolar | exit=143 | 17s | GPU=1 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:24 UTC 2026 | p2_h3_bipolar | exit=143 | 17s | GPU=2 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:24 UTC 2026 | p2_h3_bipolar | exit=143 | 17s | GPU=3 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:24 UTC 2026 | p2_x_leaky05_pow15 | exit=143 | 17s | GPU=4 | MLP_ACT=leaky05_pow15 
Sat Mar 21 04:43:24 UTC 2026 | p2_x_leaky05_pow15 | exit=143 | 17s | GPU=7 | MLP_ACT=leaky05_pow15 
Sat Mar 21 04:43:24 UTC 2026 | p2_h3_bipolar | exit=143 | 17s | GPU=6 | MLP_ACT=bipolar_relu2 
Sat Mar 21 04:43:40 UTC 2026 | p2_x_relu22 | exit=1 | 16s | GPU=5 | MLP_ACT=relu22 
Sat Mar 21 04:43:40 UTC 2026 | p2_x_relu18 | exit=1 | 17s | GPU=0 | MLP_ACT=relu18 
Sat Mar 21 04:43:40 UTC 2026 | p2_x_x_tanh | exit=1 | 16s | GPU=2 | MLP_ACT=x_tanh 
Sat Mar 21 04:43:40 UTC 2026 | p2_x_x_silu | exit=1 | 16s | GPU=1 | MLP_ACT=x_silu 
Sat Mar 21 04:43:41 UTC 2026 | p2_x_shifted_relu2 | exit=1 | 17s | GPU=3 | MLP_ACT=shifted_relu2_neg 
Sat Mar 21 04:43:41 UTC 2026 | p2_selu2_2k_s1337 | exit=1 | 17s | GPU=7 | MLP_ACT=selu2 SEED=1337 
